aX,aY,aZ,gX,gY,gZ
-0.042,0.376,2.290,-608.704,217.712,-152.771
0.136,0.407,1.855,-609.314,240.112,-197.205
0.219,0.283,1.159,-588.196,240.784,-212.524
0.149,0.084,0.864,-548.035,265.991,-257.812
-0.001,-0.431,0.323,-527.222,286.072,-282.288
0.003,-0.941,-0.153,-483.398,307.007,-310.791
0.103,-1.071,-0.386,-441.040,287.720,-284.912
0.235,-1.104,-0.690,-414.185,263.184,-249.268
0.217,-1.072,-0.797,-352.051,217.773,-158.875
0.108,-0.937,-0.943,-321.472,203.491,-115.112
-0.112,-0.874,-1.031,-263.428,165.283,-57.251
-0.209,-0.869,-1.117,-216.003,116.943,-47.913
-0.276,-0.828,-1.407,-189.636,97.351,-55.786
-0.248,-0.803,-1.581,-116.516,63.965,-77.576
-0.039,-0.764,-1.847,-65.979,49.866,-81.787
0.235,-0.746,-1.692,48.035,23.865,-56.091
0.316,-0.729,-1.504,128.235,-9.888,0.488
0.380,-0.624,-1.148,150.085,-32.776,25.879
0.384,-0.553,-1.027,168.640,-80.994,57.556
0.404,-0.402,-0.922,168.091,-101.074,65.247
0.416,-0.278,-0.929,168.152,-125.732,72.937
0.430,-0.233,-0.915,187.134,-133.911,78.064
0.484,-0.173,-0.784,201.599,-134.827,81.543
0.531,-0.153,-0.692,227.051,-133.484,94.299
0.600,-0.078,-0.492,233.154,-133.728,103.516
0.606,0.028,-0.330,233.459,-143.860,116.516
0.579,0.073,-0.319,232.788,-166.199,119.141
0.555,0.163,-0.297,238.464,-167.053,119.934
0.610,0.222,-0.234,267.395,-160.583,126.770
0.676,0.333,0.019,289.734,-160.950,137.146
0.629,0.351,0.196,331.177,-162.537,166.382
0.426,0.339,0.513,342.163,-159.668,174.988
0.349,0.361,0.590,336.609,-145.935,164.368
0.336,0.462,0.638,328.857,-136.475,151.855
0.395,0.510,0.760,331.238,-131.470,132.263
0.356,0.521,0.912,360.718,-150.513,128.723
0.117,0.475,1.402,369.812,-153.015,125.793
0.000,0.418,1.610,334.900,-122.131,92.468
-0.099,0.369,1.656,286.804,-86.243,66.345
0.000,0.385,1.498,168.091,-15.625,15.869
0.248,0.494,1.179,125.183,-2.625,0.793
0.379,0.499,1.099,100.708,-12.024,-5.127
0.410,0.466,1.130,117.126,-40.710,4.028
0.401,0.421,1.195,119.934,-54.382,9.033
0.383,0.410,1.201,106.018,-62.073,13.245
0.377,0.392,1.132,93.994,-55.359,12.390
0.387,0.405,1.028,65.125,-33.569,9.766
0.385,0.415,0.981,52.307,-27.527,8.789
0.364,0.417,0.908,43.396,-26.917,6.836
0.356,0.400,0.890,54.504,-28.442,10.986
0.335,0.330,0.912,60.120,-27.893,14.160
0.319,0.297,0.926,54.199,-28.809,14.282
0.307,0.272,0.923,46.814,-30.640,12.207
0.297,0.264,0.923,38.757,-29.602,9.644
0.278,0.237,0.939,37.903,-26.733,8.545
0.268,0.240,0.958,38.940,-21.118,6.165
0.252,0.268,0.983,42.480,-16.602,5.493
0.226,0.226,0.971,50.110,-3.052,7.202
0.231,0.206,0.970,49.011,3.235,7.019
0.267,0.198,0.964,38.086,5.371,1.953
0.282,0.199,0.961,23.865,-3.540,-0.366
0.271,0.198,0.925,20.203,-7.507,0.427
0.320,0.230,0.943,23.437,-7.263,6.714
0.549,0.220,1.605,20.874,-13.733,20.996
0.218,0.114,1.600,-7.629,-45.959,18.188
0.098,0.260,0.989,-7.935,-17.700,-0.793
0.190,0.327,0.890,11.414,40.527,-3.296
0.223,0.247,0.786,8.362,36.743,-0.671
0.234,0.224,0.791,-13.184,11.047,-8.179
0.307,0.233,0.872,-15.503,-0.305,-10.742
0.311,0.198,0.970,-5.615,-14.587,-5.859
0.301,0.190,1.000,-1.709,-16.785,1.587
0.260,0.202,0.983,-3.601,-14.465,2.747
0.243,0.218,0.945,-5.981,-2.441,0.916
0.242,0.240,0.908,-4.883,4.211,0.000
0.253,0.240,0.917,-3.174,9.033,-1.526
0.281,0.239,0.954,-3.235,6.958,-2.075
0.287,0.234,0.962,-1.770,1.404,-0.977
0.285,0.222,0.938,-0.793,0.122,0.488
0.279,0.226,0.919,0.305,0.916,2.380
0.270,0.242,0.905,0.610,2.441,2.686
0.266,0.252,0.921,0.305,4.456,1.343
0.268,0.247,0.931,-0.488,1.953,-0.671
0.267,0.230,0.944,-0.854,-0.732,-0.549
0.263,0.224,0.946,-0.793,-5.737,1.709
0.248,0.233,0.949,-0.549,-5.676,2.197
0.245,0.237,0.953,-0.732,-0.977,0.122
0.247,0.232,0.949,-1.831,2.258,-1.404
0.266,0.229,0.927,-3.845,7.019,-3.723
0.276,0.226,0.922,-3.357,6.836,-4.089
0.295,0.215,0.929,-0.732,3.418,-2.625
0.300,0.217,0.930,-0.305,0.427,0.000
0.294,0.235,0.915,-0.854,-0.244,0.732
0.286,0.244,0.909,-0.671,-0.183,0.977
0.271,0.250,0.920,0.061,-0.061,0.854
0.267,0.248,0.932,0.549,-0.366,0.122
0.264,0.241,0.946,0.427,-1.038,-0.366
0.266,0.236,0.945,1.282,-0.610,-0.244
0.268,0.233,0.935,1.526,0.000,0.183
0.263,0.244,0.929,1.404,1.221,0.183
0.258,0.246,0.930,1.465,1.648,-0.305
0.252,0.241,0.934,2.930,2.380,-2.075
0.251,0.237,0.934,4.028,2.625,-3.113
0.262,0.226,0.935,5.981,2.625,-4.456
0.274,0.216,0.932,8.240,3.662,-2.747
0.293,0.200,0.932,8.484,4.150,-0.916
0.293,0.202,0.933,4.944,2.747,1.343
0.283,0.218,0.945,2.686,1.465,1.160
0.279,0.227,0.951,-1.099,0.916,-0.610
0.277,0.238,0.930,-1.587,1.648,-1.465
0.281,0.236,0.918,1.465,3.601,-1.526
0.291,0.218,0.921,2.625,3.052,-0.732
0.291,0.214,0.924,1.587,-0.183,0.671
0.286,0.221,0.933,1.221,-1.038,1.038
0.281,0.224,0.936,2.625,-0.366,0.977
0.272,0.223,0.934,3.174,0.610,0.610

-0.083,-0.634,3.257,29.236,-3.723,-2.930
-0.327,-0.856,3.927,-191.223,20.386,-10.681
-0.585,-0.769,4.000,-370.361,90.271,-37.842
-0.342,-0.240,3.106,-664.612,241.394,-113.525
-0.217,0.037,2.463,-769.836,289.246,-168.701
0.047,0.193,1.275,-760.559,288.940,-187.744
0.151,0.083,0.798,-694.641,260.132,-211.365
0.188,-0.378,0.196,-647.095,213.135,-222.900
0.053,-0.771,-0.089,-626.465,196.411,-225.037
-0.016,-0.907,-0.246,-544.312,190.002,-222.229
0.048,-1.060,-0.729,-485.901,192.627,-217.468
0.131,-1.027,-0.929,-364.014,176.941,-193.542
0.219,-1.004,-0.967,-307.068,169.556,-171.875
0.180,-1.100,-0.944,-228.577,174.011,-115.906
0.120,-1.085,-1.016,-209.351,169.189,-92.163
0.038,-0.963,-1.253,-184.631,129.639,-71.045
0.024,-0.898,-1.392,-147.644,75.439,-70.007
0.066,-0.766,-1.662,-119.507,49.255,-71.045
0.140,-0.679,-1.750,-28.076,9.216,-62.195
0.309,-0.561,-1.655,33.081,-2.197,-47.363
0.358,-0.569,-1.487,141.602,-19.897,-2.991
0.400,-0.564,-1.173,172.729,-34.668,18.372
0.396,-0.453,-1.008,199.280,-78.613,48.462
0.398,-0.381,-0.960,212.524,-113.647,64.758
