aX,aY,aZ,gX,gY,gZ
-0.604,0.653,0.193,-142.883,112.610,-154.114
-0.515,0.144,0.064,-166.321,-41.138,-203.430
-0.236,-1.065,0.471,-125.061,-121.948,-219.177
0.296,-2.265,1.415,39.978,-198.303,-193.970
0.418,-2.236,1.888,124.695,-169.373,-104.187
0.463,-1.732,2.150,101.746,-115.234,-79.163
0.493,-1.754,1.945,7.935,-11.719,-56.946
0.356,-1.687,1.494,-9.888,9.644,-32.776
0.079,-1.158,1.265,-2.869,22.217,13.794
-0.035,-0.919,1.195,-6.409,30.396,29.785
-0.148,-0.671,1.019,-10.986,33.447,27.893
-0.167,-0.634,0.910,-16.113,33.875,20.691
-0.193,-0.621,0.810,-14.893,30.151,17.456
-0.096,-0.641,0.883,-12.878,13.489,16.235
-0.032,-0.639,0.908,-20.813,2.380,25.452
0.019,-0.586,0.906,-42.542,-10.498,59.998
0.009,-0.514,0.888,-21.973,3.418,87.646
0.013,-0.308,0.824,-0.122,17.517,94.543
0.018,-0.185,0.783,26.917,35.522,105.957
-0.031,0.044,0.727,28.992,32.959,111.694
-0.066,0.163,0.746,20.386,6.165,114.563
-0.116,0.347,0.839,13.245,-8.606,110.962
-0.145,0.457,0.917,1.099,-20.691,99.487
-0.158,0.489,0.941,2.747,-11.658,86.975
-0.180,0.566,0.973,9.460,-5.188,82.031
-0.192,0.601,0.986,21.545,5.249,74.219
-0.196,0.655,1.031,22.766,7.812,69.397
-0.186,0.672,1.053,18.616,9.460,58.411
-0.163,0.655,1.071,15.930,11.169,52.490
-0.149,0.574,1.054,15.198,17.334,38.208
-0.135,0.505,1.040,19.653,21.729,21.179
-0.067,0.388,1.050,20.996,19.836,14.648
-0.035,0.351,1.068,16.968,13.245,8.484
0.008,0.276,1.072,11.292,12.268,5.981
0.030,0.231,1.050,-0.732,11.719,-0.610
0.080,0.140,1.010,-5.981,9.338,-2.808
0.110,0.077,1.005,-14.099,2.075,-1.709
0.108,0.062,1.012,-13.733,2.380,3.052
0.091,0.064,0.997,-8.850,6.653,5.066
0.078,0.070,0.973,4.333,15.015,7.263
0.049,0.084,0.940,8.057,15.503,6.653
0.046,0.088,0.941,3.296,6.653,2.319
0.043,0.093,0.955,-6.226,-4.578,-1.831
0.036,0.078,0.963,-6.470,-6.470,-2.991
0.032,0.062,0.962,0.916,-4.456,-4.700
0.041,0.026,0.967,4.944,-3.052,-5.371
0.066,-0.004,0.996,8.728,-3.418,-5.005
0.071,-0.003,1.012,6.775,-4.578,-3.174
0.061,-0.007,1.019,5.920,-3.235,-3.540
0.064,-0.015,1.016,4.944,-0.610,-4.150
